asin,ISBN10,title,brand,availability,discount,initial_price,final_price,currency,rating,reviews_count,categories,best_sellers_rank,timestamp,url
1542000173,1542000173,Layla,Colleen Hoover,In Stock.,4.96,14.95,9.99,USD,4.3 out of 5 stars,13122,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Romance / Paranormal"",""rank"":25},{""category"":""Books / Romance / Romantic Suspense"",""rank"":33},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Supernatural"",""rank"":7},{""category"":""Books / Romance / Contemporary"",""rank"":91},{""category"":""Books / Literature & Fiction / Genre Fiction / Horror"",""rank"":12},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Supernatural / Ghosts"",""rank"":3},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Supernatural / Psychics"",""rank"":2},{""category"":""Books / Literature & Fiction / Genre Fiction / Horror / Ghosts"",""rank"":2},{""category"":""Books / Literature & Fiction / Women's Fiction / Contemporary"",""rank"":54}]",2021-12-21T23:46:20.187Z,https://www.amazon.com/dp/1542000173
1542004527,1542004527,When We Believed in Mermaids: A Novel,Barbara O'Neal,In Stock.,8.26,14.95,6.69,USD,4.5 out of 5 stars,46944,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Genre Fiction / Psychological"",""rank"":45},{""category"":""Books / Literature & Fiction / Women's Fiction / Sisters"",""rank"":19},{""category"":""Books / Literature & Fiction / Women's Fiction / Contemporary"",""rank"":90}]",2021-12-21T23:46:24.098Z,https://www.amazon.com/dp/1542004527
1542005132,1542005132,The Dressmaker's Gift,Fiona Valpy,In Stock.,5.96,14.95,8.99,USD,4.5 out of 5 stars,25606,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Historical Fiction / World War II"",""rank"":73}]",2021-12-21T23:46:38.918Z,https://www.amazon.com/dp/1542005132
1542005159,1542005159,The Skylark's Secret,Fiona Valpy,In Stock.,6.16,14.95,8.79,USD,4.4 out of 5 stars,15433,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / British & Irish / Historical"",""rank"":77}]",2021-12-21T23:46:31.890Z,https://www.amazon.com/dp/1542005159
1542005221,1542005221,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,In Stock.,4.0,24.95,20.95,USD,4.4 out of 5 stars,43355,"[""Books"",""Biographies & Memoirs"",""True Crime""]","[{""category"":""Books / Biographies & Memoirs / True Crime"",""rank"":87},{""category"":""Books / Biographies & Memoirs / True Crime / Murder & Mayhem"",""rank"":35},{""category"":""Books / Biographies & Memoirs / True Crime / Serial Killers"",""rank"":21}]",2021-12-21T23:46:35.954Z,https://www.amazon.com/dp/1542005221
154200523X,154200523X,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,In Stock.,3.97,15.95,11.98,USD,4.4 out of 5 stars,43355,"[""Books"",""Biographies & Memoirs"",""True Crime""]","[{""category"":""Books / Biographies & Memoirs"",""rank"":56},{""category"":""Books / Biographies & Memoirs / True Crime"",""rank"":8},{""category"":""Books / Biographies & Memoirs / True Crime / Murder & Mayhem"",""rank"":4},{""category"":""Books / Biographies & Memoirs / True Crime / Serial Killers"",""rank"":3}]",2021-12-21T23:46:21.911Z,https://www.amazon.com/dp/154200523X
1542016428,1542016428,Regretting You,Colleen Hoover,In Stock.,3.96,14.95,10.99,USD,4.6 out of 5 stars,12701,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Romance"",""rank"":97},{""category"":""Books / Romance / Contemporary"",""rank"":53},{""category"":""Books / Literature & Fiction / Genre Fiction / Family Life"",""rank"":39},{""category"":""Books / Literature & Fiction / Genre Fiction / Psychological"",""rank"":12},{""category"":""Books / Literature & Fiction / Women's Fiction"",""rank"":66},{""category"":""Books / Literature & Fiction / Women's Fiction / Contemporary"",""rank"":32},{""category"":""Books / Literature & Fiction / Women's Fiction / Domestic Life"",""rank"":31},{""category"":""Books / Literature & Fiction / Women's Fiction / Mothers & Children"",""rank"":17},{""category"":""Books / Literature & Fiction / Women's Fiction / Sisters"",""rank"":9}]",2021-12-21T23:46:23.675Z,https://www.amazon.com/dp/1542016428
1542019508,1542019508,Devoted,Dean Koontz,In Stock.,16.2,28.99,12.79,USD,4.4 out of 5 stars,17286,"[""Books"",""Literature & Fiction"",""Action & Adventure""]","[{""category"":""Books / Literature & Fiction / Genre Fiction / Animals"",""rank"":6},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Supernatural"",""rank"":83},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Supernatural / Psychics"",""rank"":16},{""category"":""Books / Literature & Fiction / Action & Adventure / Mystery, Thriller & Suspense / Mystery"",""rank"":78}]",2021-12-21T23:46:26.508Z,https://www.amazon.com/dp/1542019508
1542019516,1542019516,Devoted,Dean Koontz,In Stock.,6.0,16.99,10.99,USD,4.4 out of 5 stars,17286,"[""Books"",""Literature & Fiction"",""Action & Adventure""]","[{""category"":""Books / Literature & Fiction / Genre Fiction / Animals"",""rank"":5},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Supernatural"",""rank"":65},{""category"":""Books / Literature & Fiction / Action & Adventure / Mystery, Thriller & Suspense / Thriller & Suspense"",""rank"":87}]",2021-12-21T23:46:25.254Z,https://www.amazon.com/dp/1542019516
1542019818,1542019818,This Magnificent Dappled Sea: A Novel,David Biro,In Stock.,8.46,14.95,6.49,USD,4.2 out of 5 stars,16688,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / World Literature / Jewish"",""rank"":50},{""category"":""Books / Literature & Fiction / Historical Fiction / Jewish"",""rank"":40}]",2021-12-21T23:46:22.615Z,https://www.amazon.com/dp/1542019818
1542019850,1542019850,Elsewhere,Dean Koontz,In Stock.,15.7,28.99,13.29,USD,4.5 out of 5 stars,10203,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Technothrillers"",""rank"":71}]",2021-12-21T23:46:36.648Z,https://www.amazon.com/dp/1542019850
1542019877,1542019877,Elsewhere,Dean Koontz,In Stock.,8.0,16.99,8.99,USD,4.5 out of 5 stars,10203,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Technothrillers"",""rank"":14},{""category"":""Books / Science Fiction & Fantasy / Science Fiction / Adventure"",""rank"":41},{""category"":""Books / Literature & Fiction / Genre Fiction / Horror"",""rank"":38}]",2021-12-21T23:46:22.117Z,https://www.amazon.com/dp/1542019877
154201994X,154201994X,The Other Emily,Dean Koontz,In Stock.,4.0,16.99,12.99,USD,4.2 out of 5 stars,11614,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]","[{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Psychological Thrillers"",""rank"":84},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Crime / Serial Killers"",""rank"":30},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Crime / Murder"",""rank"":81}]",2021-12-21T23:46:20.481Z,https://www.amazon.com/dp/154201994X
1542019958,1542019958,The Other Emily,Dean Koontz,In Stock.,13.0,28.99,15.99,USD,4.2 out of 5 stars,11614,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]","[{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Crime / Serial Killers"",""rank"":66}]",2021-12-22T00:08:10.327Z,https://www.amazon.com/dp/1542019958
1542020093,1542020093,"Spellbreaker (Spellbreaker, 1)",Charlie N. Holmberg,In Stock.,8.26,14.95,6.69,USD,4.3 out of 5 stars,19356,"[""Books"",""Literature & Fiction"",""Action & Adventure""]","[{""category"":""Books / Science Fiction & Fantasy / Fantasy / Gaslamp"",""rank"":58}]",2021-12-21T23:46:25.294Z,https://www.amazon.com/dp/1542020093
1542020123,1542020123,The Haunting of Brynn Wilder: A Novel,Wendy Webb,In Stock.,7.96,14.95,6.99,USD,4.3 out of 5 stars,19032,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]","[{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Supernatural / Ghosts"",""rank"":99}]",2021-12-21T23:46:32.794Z,https://www.amazon.com/dp/1542020123
1542020190,1542020190,Every Last Secret,A. R. Torre,In Stock.,4.0,15.95,11.95,USD,4.3 out of 5 stars,21376,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]","[{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Domestic"",""rank"":43},{""category"":""Books / Literature & Fiction / Genre Fiction / Psychological"",""rank"":74},{""category"":""Books / Literature & Fiction / Women's Fiction / Friendship"",""rank"":72},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Crime / Murder"",""rank"":98}]",2021-12-21T23:46:21.024Z,https://www.amazon.com/dp/1542020190
1542021472,1542021472,The Keeper of Happy Endings,Barbara Davis,In Stock.,3.96,14.95,10.99,USD,4.6 out of 5 stars,29058,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Historical Fiction / World War II"",""rank"":65}]",2021-12-21T23:46:24.118Z,https://www.amazon.com/dp/1542021472
1542021545,1542021545,Seven Perfect Things: A Novel,Catherine Ryan Hyde,In Stock.,4.0,14.95,10.95,USD,4.5 out of 5 stars,21626,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Genre Fiction / Animals"",""rank"":9},{""category"":""Books / Literature & Fiction / Genre Fiction / Friendship"",""rank"":77}]",2021-12-21T23:46:22.077Z,https://www.amazon.com/dp/1542021545
154202174X,154202174X,West with Giraffes: A Novel,Lynda Rutledge,In Stock.,6.96,24.95,17.99,USD,4.7 out of 5 stars,35412,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Genre Fiction / Animals"",""rank"":21}]",2021-12-21T23:46:22.500Z,https://www.amazon.com/dp/154202174X
1542023343,1542023343,West with Giraffes: A Novel,Lynda Rutledge,In Stock.,6.16,14.95,8.79,USD,4.7 out of 5 stars,35412,"[""Books"",""Computers & Technology"",""Operating Systems""]","[{""category"":""Books / Computers & Technology"",""rank"":8},{""category"":""Books / Computers & Technology / Networking & Cloud Computing"",""rank"":1},{""category"":""Books / Computers & Technology / Operating Systems"",""rank"":1},{""category"":""Books / Computers & Technology / Security & Encryption"",""rank"":1},{""category"":""Books / Computers & Technology / Software"",""rank"":1},{""category"":""Books / Computers & Technology / Web Development & Design"",""rank"":1},{""category"":""Books / Literature & Fiction / Contemporary"",""rank"":9},{""category"":""Books / Computers & Technology / Software / Microsoft"",""rank"":1},{""category"":""Books / Computers & Technology / Operating Systems / Windows"",""rank"":1},{""category"":""Books / Literature & Fiction / Genre Fiction / Coming of Age"",""rank"":14},{""category"":""Books / Literature & Fiction / Genre Fiction / Friendship"",""rank"":7},{""category"":""Books / Computers & Technology / Networking & Cloud Computing / Network Security"",""rank"":1},{""category"":""Books / Literature & Fiction / Literary"",""rank"":64},{""category"":""Books / Computers & Technology / Operating Systems / Windows / Windows Desktop"",""rank"":1},{""category"":""Books / Literature & Fiction / Historical Fiction"",""rank"":59},{""category"":""Books / Computers & Technology / Operating Systems / Windows / Windows Desktop / Windows Vista"",""rank"":1}]",2021-12-21T23:46:20.238Z,https://www.amazon.com/dp/1542023343
154202594X,154202594X,The Next Wife,Kaira Rouda,In Stock.,8.46,15.95,7.49,USD,4.0 out of 5 stars,27072,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]","[{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Domestic"",""rank"":99}]",2021-12-21T23:46:21.377Z,https://www.amazon.com/dp/154202594X
154202773X,154202773X,Seven Perfect Things: A Novel,Catherine Ryan Hyde,In Stock.,9.96,24.95,14.99,USD,4.5 out of 5 stars,21626,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Genre Fiction / Animals"",""rank"":53}]",2021-12-21T23:46:25.638Z,https://www.amazon.com/dp/154202773X
1542028752,1542028752,Her Perfect Family,Teresa Driscoll,In Stock.,4.0,15.95,11.95,USD,4.2 out of 5 stars,15051,"[""Books"",""Literature & Fiction"",""World Literature""]","[{""category"":""Books / Literature & Fiction / World Literature / European / British & Irish"",""rank"":39}]",2021-12-21T23:46:41.074Z,https://www.amazon.com/dp/1542028752
1542046599,9781542046596,I Am Watching You,Teresa Driscoll,In Stock.,8.66,15.95,7.29,USD,4.4 out of 5 stars,32832,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]","[{""category"":""Books / Mystery, Thriller & Suspense / Mystery"",""rank"":93},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Psychological Thrillers"",""rank"":60},{""category"":""Books / Mystery, Thriller & Suspense / Thrillers & Suspense / Crime / Murder"",""rank"":59}]",2021-12-21T23:46:21.343Z,https://www.amazon.com/dp/1542046599
1547604174,1547604174,A Court of Thorns and Roses Collector's Edition,Sarah J. Maas,Available to ship in 1-2 days.,3.5,35.0,31.5,USD,4.7 out of 5 stars,35941,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]","[{""category"":""Books / Romance / Action & Adventure"",""rank"":56},{""category"":""Books / Teens / Romance / Paranormal"",""rank"":51},{""category"":""Books / Teens / Science Fiction & Fantasy / Fantasy / Wizards & Witches"",""rank"":56}]",2021-12-21T23:46:27.061Z,https://www.amazon.com/dp/1547604174
1549107690,1549107690,The Dark Hours (A Renee Ballard and Harry Bosch Novel),Michael Connelly,In Stock.,4.01,40.0,35.99,USD,4.7 out of 5 stars,15576,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]","[{""category"":""Books / Books on CD"",""rank"":10},{""category"":""Books / Literature & Fiction / Genre Fiction / City Life"",""rank"":66}]",2021-12-21T23:46:26.797Z,https://www.amazon.com/dp/1549107690
1549109200,1549109200,The Wish,Nicholas Sparks,In Stock.,22.69,40.0,17.31,USD,4.8 out of 5 stars,13371,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Books on CD"",""rank"":15}]",2021-12-21T23:46:23.301Z,https://www.amazon.com/dp/1549109200
